"Asset ID","Address","City","State","ZIP","Property Type","Beds","Baths","Square Feet","Occupancy","Condition","Reference Value","Loan Balance","Repair Estimate","Annual Taxes","HOA Monthly","Title Status","7% Allocation","Notes"
"REO-0001","1000 Sample Oak Drive (sample)","Dallas","TX","75201","Duplex","2","1","980","Tenant occupied","Good","95000","58900","3000","1330","145","Title exception — review","6650","Fictional REO example; not an actual bank asset or valuation."
"REO-0002","1007 Example Ridge Drive (sample)","Fort Worth","TX","76102","Single-family","3","2","1063","Vacant","Fair","534000","384480","18000","7476","0","Review required","37380","Fictional REO example; not an actual bank asset or valuation."
"REO-0003","1014 Demo Creek Drive (sample)","Phoenix","AZ","85004","Single-family","4","3","1146","Vacant","Poor","533000","437060","52000","7462","0","Review required","37310","Fictional REO example; not an actual bank asset or valuation."
"REO-0004","1021 Illustration Park Drive (sample)","Tampa","FL","33602","Single-family","5","1","1229","Tenant occupied","Good","532000","489440","6000","7448","0","Review required","37240","Fictional REO example; not an actual bank asset or valuation."
"REO-0005","1028 Model Pine Drive (sample)","Atlanta","GA","30303","Single-family","2","2","1312","Vacant","Major rehabilitation","531000","541620","110000","7434","145","Review required","37170","Fictional REO example; not an actual bank asset or valuation."
"REO-0006","1035 Sample Oak Drive (sample)","Columbus","OH","43215","Single-family","3","3","1395","Vacant","Good","530000","593600","3000","7420","0","Review required","37100","Fictional REO example; not an actual bank asset or valuation."
"REO-0007","1042 Example Ridge Drive (sample)","Memphis","TN","38103","Single-family","4","1","1478","Tenant occupied","Fair","529000","327980","18000","7406","0","Review required","37030","Fictional REO example; not an actual bank asset or valuation."
"REO-0008","1049 Demo Creek Drive (sample)","Charlotte","NC","28202","Single-family","5","2","1561","Vacant","Poor","528000","380160","52000","7392","0","Title exception — review","36960","Fictional REO example; not an actual bank asset or valuation."
"REO-0009","1056 Illustration Park Drive (sample)","Tulsa","OK","74103","Single-family","2","3","1644","Vacant","Good","527000","432140","6000","7378","145","Review required","36890","Fictional REO example; not an actual bank asset or valuation."
"REO-0010","1063 Model Pine Drive (sample)","Las Vegas","NV","89101","Duplex","3","1","1727","Tenant occupied","Major rehabilitation","526000","483920","110000","7364","0","Review required","36820","Fictional REO example; not an actual bank asset or valuation."
"REO-0011","1070 Sample Oak Drive (sample)","Dallas","TX","75201","Single-family","4","2","1810","Vacant","Good","525000","535500","3000","7350","0","Review required","36750","Fictional REO example; not an actual bank asset or valuation."
"REO-0012","1077 Example Ridge Drive (sample)","Fort Worth","TX","76102","Single-family","5","3","1893","Vacant","Fair","524000","586880","18000","7336","0","Review required","36680","Fictional REO example; not an actual bank asset or valuation."
"REO-0013","1084 Demo Creek Drive (sample)","Phoenix","AZ","85004","Single-family","2","1","1976","Tenant occupied","Poor","523000","324260","52000","7322","145","Review required","36610","Fictional REO example; not an actual bank asset or valuation."
"REO-0014","1091 Illustration Park Drive (sample)","Tampa","FL","33602","Single-family","3","2","2059","Vacant","Good","522000","375840","6000","7308","0","Review required","36540","Fictional REO example; not an actual bank asset or valuation."
"REO-0015","1098 Model Pine Drive (sample)","Atlanta","GA","30303","Single-family","4","3","2142","Vacant","Major rehabilitation","521000","427220","110000","7294","0","Title exception — review","36470","Fictional REO example; not an actual bank asset or valuation."
"REO-0016","1105 Sample Oak Drive (sample)","Columbus","OH","43215","Single-family","5","1","2225","Tenant occupied","Good","520000","478400","3000","7280","0","Review required","36400","Fictional REO example; not an actual bank asset or valuation."
"REO-0017","1112 Example Ridge Drive (sample)","Memphis","TN","38103","Single-family","2","2","2308","Vacant","Fair","519000","529380","18000","7266","145","Review required","36330","Fictional REO example; not an actual bank asset or valuation."
"REO-0018","1119 Demo Creek Drive (sample)","Charlotte","NC","28202","Single-family","3","3","2391","Vacant","Poor","518000","580160","52000","7252","0","Review required","36260","Fictional REO example; not an actual bank asset or valuation."
